"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 02 17:47:37 CEST 2022","Sat Apr 02 17:47:37 CEST 2022","70","","Volvo 3-point safety belt page testing","","Volvo 3-point safety belt page testing","should test the page sub heading","should test the page sub heading",""
"passed","Sat Apr 02 17:47:37 CEST 2022","Sat Apr 02 17:47:37 CEST 2022","555","","Volvo 3-point safety belt page testing","","Volvo 3-point safety belt page testing","should test the navbar menu","should test the navbar menu",""
"passed","Sat Apr 02 17:47:37 CEST 2022","Sat Apr 02 17:47:37 CEST 2022","93","","Volvo 3-point safety belt page testing","","Volvo 3-point safety belt page testing","should test the first section heading","should test the first section heading",""
"passed","Sat Apr 02 17:47:36 CEST 2022","Sat Apr 02 17:47:37 CEST 2022","268","","Volvo 3-point safety belt page testing","","Volvo 3-point safety belt page testing","should check the logo is displayed","should check the logo is displayed",""
"passed","Sat Apr 02 17:47:35 CEST 2022","Sat Apr 02 17:47:36 CEST 2022","1492","","Volvo 3-point safety belt page testing","","Volvo 3-point safety belt page testing","should open the given url","should open the given url",""
"passed","Sat Apr 02 17:47:38 CEST 2022","Sat Apr 02 17:47:38 CEST 2022","371","","Volvo 3-point safety belt page testing","","Volvo 3-point safety belt page testing","should test the url of learn more button","should test the url of learn more button",""
"passed","Sat Apr 02 17:47:36 CEST 2022","Sat Apr 02 17:47:36 CEST 2022","63","","Volvo 3-point safety belt page testing","","Volvo 3-point safety belt page testing","should test the page title","should test the page title",""
"passed","Sat Apr 02 17:47:36 CEST 2022","Sat Apr 02 17:47:36 CEST 2022","198","","Volvo 3-point safety belt page testing","","Volvo 3-point safety belt page testing","should accept the cookie settings","should accept the cookie settings",""
"passed","Sat Apr 02 17:47:37 CEST 2022","Sat Apr 02 17:47:37 CEST 2022","31","","Volvo 3-point safety belt page testing","","Volvo 3-point safety belt page testing","should test the video","should test the video",""
"passed","Sat Apr 02 17:47:37 CEST 2022","Sat Apr 02 17:47:37 CEST 2022","65","","Volvo 3-point safety belt page testing","","Volvo 3-point safety belt page testing","should test the page heading","should test the page heading",""
"passed","Sat Apr 02 17:47:37 CEST 2022","Sat Apr 02 17:47:38 CEST 2022","274","","Volvo 3-point safety belt page testing","","Volvo 3-point safety belt page testing","should test the url of learn more about car safety hyperlink","should test the url of learn more about car safety hyperlink",""
